122875::JLHMKYGFMZDOOF-UHFFFAOYSA-N,-10.2
122877::RCQYCEBXDWLITH-UHFFFAOYSA-N,-10.1
122880::NFISIFLEAMLXMW-UHFFFAOYSA-N,-8.9
122905::VDHXGVKVHXVZBW-UHFFFAOYSA-N,-10.3
122906::JCHTWNXVTQEIJH-UHFFFAOYSA-N,-9.7
125276::RYTXVHCYIMAQIC-UHFFFAOYSA-N,-8.8
125438::SLFGSBCJSPHJCE-LSDHHAIUSA-N,-10.0
127471::GYRKINABGRSUGW-UHFFFAOYSA-N,-10.1
131931::NDWDFOHNAPAFJC-UHFFFAOYSA-N,-9.1
139495::IIABPOATXMCFIP-UHFFFAOYSA-N,-9.0
139768::OTRCGCSAXCYFDY-UHFFFAOYSA-N,-9.8
139784::GDVLATMCDGSFHN-UHFFFAOYSA-N,-10.4
139815::LPACSMJBOGTHAB-GBAZGAGXSA-N,-10.6
139822::IRMDNBINMGCPIV-GDLZYMKVSA-N,-10.8
139836::GAUIWQDFAKOZPL-WOKNPCPGSA-N,-9.9
139850::GSBXPSDZHHBULK-UHFFFAOYSA-N,-10.1
139859::CVEMWDLQBJGLSR-UHFFFAOYSA-N,-9.8
139869::JUEORSSBWVMLPJ-UHFFFAOYSA-N,-10.0
152834::FIXLLMQSYQWBGE-UHFFFAOYSA-N,-8.8
159235::KEWJTNNSWAUKDA-AREMUKBSSA-N,-9.6
159236::LADQLGACPNZYLX-MUUNZHRXSA-N,-10.0
169521::PMZVZOSOGDHRCQ-JOCHJYFZSA-N,-11.0
174326::KKTSOFXCPJNABK-ROUUACIJSA-N,-9.8
181015::DAXUUNAELZSVRJ-UHFFFAOYSA-N,-9.1
181690::LEXOEMDADCEKEP-UHFFFAOYSA-N,-8.7
182486::NTSTWVKDSHLTLO-UHFFFAOYSA-N,-9.3
182638::YMAXDASFQVYAFA-UHFFFAOYSA-N,-8.5
188758::XZOWJCGJUPFFSJ-UHFFFAOYSA-N,-9.8
188778::KHBGODHLUMDHHZ-UHFFFAOYSA-N,-9.6
188797::IYMYAEXANUXDMQ-UHFFFAOYSA-N,-9.1
188812::VQJKZXIKCUIQOX-UHFFFAOYSA-N,-9.6
188891::LGGKBHUREJMNQW-UHFFFAOYSA-N,-9.4
188892::LQHVKBWKLFXDSF-UHFFFAOYSA-N,-9.8
188893::LUVJWXYPQULWLK-UHFFFAOYSA-N,-9.7
188895::NIDNUEYTBQKJNU-UHFFFAOYSA-N,-9.6
188897::LBONCAXERBXMPH-OAHLLOKOSA-N,-10.0
188898::LBONCAXERBXMPH-HNNXBMFYSA-N,-9.8
188926::HJSJXRXRNWPLKU-UHFFFAOYSA-N,-9.7
188927::MRPMSFCIEQPGFV-UHFFFAOYSA-N,-9.5
191874::WXYWGLVJNJNEKF-UHFFFAOYSA-N,-8.4
204149::SWWRKKQBPXQMNE-UHFFFAOYSA-N,-7.6
204152::OMQJOVALTYGGLC-UHFFFAOYSA-N,-7.6
204601::SXTYEVVLCSOHHX-UHFFFAOYSA-N,-8.0
204636::RXAZDVFBDJEAKF-UHFFFAOYSA-N,-7.6
205995::KNVUDUILISDHBC-OAHLLOKOSA-N,-8.6
206350::OOWMBJPTVIGPFX-UHFFFAOYSA-N,-10.2
206841::YMKKXZCCJACIFJ-UHFFFAOYSA-N,-10.9
207140::IIILFJZWUSDOMV-IAOVAPTHSA-N,-9.1
209325::BHKDKKZMPODMIQ-UHFFFAOYSA-N,-7.9
209333::LOXDSCLLVHNBKO-UHFFFAOYSA-N,-8.3
209339::NODJSZDQTKGINK-UHFFFAOYSA-N,-8.0
