file name,name,smiles,EGFR.csv,ER-beta.csv,HER2.csv,NFKB.csv,PR.csv,molecular weight
EGFR+HER2.smi,50508555::XGCRBZXEACAZHB-UHFFFAOYSA-N,c1nc2c(nc1)cc(cc2c1cc2c(cc1)ccn2C)Nc1cnccc1C(=O)N[C@H]1CC(=O)NCC1,-10.7,,-10.3,,,491.555
EGFR+HER2.smi,50508534::IZTXVFPCPZWGQY-UHFFFAOYSA-N,c1nc2c(nc1)cc(cc2c1cc2c(cc1)ccn2C)Nc1cnccc1C(=O)N[C@H]1CCC(=O)N(C1)C,-10.6,,-10.3,,,505.582
EGFR+HER2.smi,50508533::LYGSZPURNMQRJM-UHFFFAOYSA-N,c1nc2c(nc1)cc(cc2c1cc2c(cc1)ccn2C)Nc1cnccc1C(=O)N[C@H]1CCN(C1)C(=O)C,-10.9,,-9.5,,,505.582
EGFR+HER2.smi,50505310::CWUWUTZYVVHSIQ-UHFFFAOYSA-N,O=S(=O)(Nc1cc(c2cc(c3c(c2)c(ncn3)C)OCCN2CCCC2)cnc1OC)c1c(cc(cc1)F)F,-9.5,,-8.8,,,555.607
EGFR+HER2.smi,50481107::UMFVRUNCRUOHJN-CMDGGOBGSA-N,C1C2(CCNC1)C(=O)Nc1ncc(cc1C2)/C=C/C(=O)N(Cc1c(c(ccc1)OC)OCCC)C,-8.7,,-9,,,478.593
EGFR+HER2.smi,50480874::IJTMWMOPQKFNCQ-OZMWKAMBSA-N,O1c2c3c(CN(CC[C@]43[C@@H]1C[C@H](C=C4)O[P@@](=O)(N(CCCl)CCCl)NCCO)C)ccc2OC,-7.5,,-5.5,,,534.421
EGFR+HER2.smi,50465095::GFBYPYUSXALYJS-UHFFFAOYSA-N,n1c(cc(cc1)c1nc(c(s1)C(=O)O)OCCNc1c2c(nc3c1CCCC3)cccc2)NC(=O)C1CC1,-10.5,,-10.4,,,529.622
EGFR+HER2.smi,50460973::RJWVOEWPMKLYAP-MRXNPFEDSA-N,n1cnc2c(c1N)c(nn2[C@@H]1CCCN(C1)C(=O)C=C)C#CCOc1cccc(c1)OC,-8.5,,-10.1,,,432.484
EGFR+HER2.smi,50460970::CPHTYLNCXSHROB-MRXNPFEDSA-N,n1cnc2c(c1N)c(nn2[C@@H]1CCCN(C1)C(=O)C=C)C#CCOc1ccccc1OC,-8.6,,-9.2,,,432.484
EGFR+HER2.smi,50451257::MMHURJWOZLRNSA-UHFFFAOYSA-O,C(=O)(N(C[C@H](c1cc(C#N)ccc1)O)C1CCC1)Nc1ccc(CNC(=O)C(C)(C)C)cc1,-8.3,,-9.7,,,448.567
